ID,name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,deity,SLA_Level,domain,short_description,majorcaster_cost_mult,powercaster_cost_mult,caster_cost_mult,minorcaster_cost_mult,best_spell_cost,material_cost,scroll_cost,potion_cost,wand_cost,URL
1030,Dance of a Hundred Cuts,Transmutation,NULL,NULL,bard 4,1 standard action,V,0,Personal,NULL,NULL,You,1 round/level,0,0,None,No,"You become a lethal combat dancer, swirling and spinning with grace and precision. You gain a morale bonus on melee attack rolls, melee damage rolls, and Acrobatics checks, and to Armor Class. This bonus is equal to +1 per 3 caster levels (maximum +5 at 1","<p>You become a lethal combat dancer, swirling and spinning with grace and precision. You gain a morale bonus on melee attack rolls, melee damage rolls, and Acrobatics checks, and to Armor Class. This bonus is equal to +1 per 3 caster levels (maximum +5 a",Ultimate Magic,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Dance of a Hundred Cuts</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>bard 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/>,1,0,0,0,0,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,Gain +1 combat bonus/3 levels.,NULL,NULL,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/d/dance-of-a-hundred-cuts
1031,Dance of a Thousand Cuts,Transmutation,NULL,NULL,bard 6,1 standard action,V,0,Personal,NULL,NULL,You,1 round/level,0,0,None,No,"This spell functions as dance of a hundred cuts, except you also gain the benefits of haste.","<p>This spell functions as <i>dance of a hundred cuts</i>, except you also gain the benefits of <i>haste</i>.</p>",Ultimate Magic,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Dance of a Thousand Cuts</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>bard 6</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/,1,0,0,0,0,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,"As dance of a hundred cuts, plus the benefits of haste.",NULL,NULL,66,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/d/dance-of-a-thousand-cuts
1032,"Darkvision, Greater",Transmutation,NULL,NULL,"alchemist 4, antipaladin 4, ranger 4, sorcerer/wizard 4",1 standard action,"V, S, M (either a pinch of dried carrot or an agate)",0,Touch,NULL,NULL,Creature touched,1 hour/level,0,0,Will negates (harmless),Yes (harmless),"This spell functions as darkvision, except the target's darkvision has a range of 120 feet.","<p>This spell functions as <i>darkvision</i>, except the target's <i>darkvision</i> has a range of 120 feet.</p>",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Darkvision, Greater</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>alchemist 4, antipaladin 4, ranger 4, sorcerer/wizard 4</h5></div",1,1,1,0,0,4,4,NULL,NULL,4,NULL,NULL,4,NULL,NULL,NULL,NULL,4,NULL,NULL,4,NULL,See 120 ft. in total darkness.,28,32,28,40,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/d/darkvision
1033,"Daze, Mass",Enchantment,Compulsion,mind-affecting,"bard 4, inquisitor 4, sorcerer/wizard 4, summoner 4, witch 4",1 standard action,"V, S",0,Medium (100 ft. + 10 ft./level),NULL,NULL,"One or more humanoid creatures, no two of which  may be more than 30 ft. apart",1 round,0,0,Will negates,Yes,"This spell functions as daze, except as noted above.","<p>This spell functions as <i>daze</i>, except as noted above.</p>",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Daze, Mass</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 4, inquisitor 4, sorcerer/wizard 4, summo",1,1,0,0,0,4,4,NULL,NULL,NULL,4,NULL,NULL,4,4,4,NULL,NULL,NULL,NULL,4,NULL,"As daze, but affecting multiple creatures.",28,32,28,40,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/d/daze
1034,Decompose Corpse,Necromancy,NULL,NULL,"cleric 1, druid 1, sorcerer/wizard 1, witch 1",1 standard action,"V, S, M (a pinch of dried toadstool)",0,Touch,NULL,NULL,One corpse or corporeal undead,Instantaneous or 1 minute; see text,0,0,Fortitude negates (object),Yes (object),"Using this spell, the caster rapidly decomposes the flesh from a single corpse of size Huge or smaller, leaving behind a perfectly cleaned skeleton. If it is cast on a non-skeletal corporeal undead, the creature takes a -2 penalty on all rolls and to its ","<p>Using this spell, the caster rapidly decomposes the flesh from a single corpse of size Huge or smaller, leaving behind a perfectly cleaned skeleton. If it is cast on a non-skeletal corporeal undead, the creature takes a -2 penalty on all rolls and to i",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Decompose Corpse</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy; <b>Level </b>cleric 1, druid 1, sorcerer/wizard 1, witch 1</h5></div><hr/><div><h5><",1,1,1,0,0,1,1,1,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,Turn a corpse into a clean skeleton.,1,1,NULL,NULL,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/d/decompose-corpse
1035,Defensive Shock,Evocation,NULL,electricity,"alchemist 2, magus 2, sorcerer/wizard 2",1 standard action,"V, S, M (a hollow metal sphere)",0,Personal,NULL,NULL,You,1 minute/level or until discharged,0,0,None,No,"Electrical energy floods your body, shocking the next creature that touches you. Any creature striking you with its body or a handheld weapon takes 1d6 points of electricity damage per two caster levels (maximum 6d6). If the attacker has spell resistance,","<p>Electrical energy floods your body, shocking the next creature that touches you. Any creature striking you with its body or a handheld weapon takes 1d6 points of electricity damage per two caster levels (maximum 6d6). If the attacker has spell resistan",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Defensive Shock</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation [electricity]; <b>Level </b>alchemist 2, magus 2, sorcerer/wizard 2</h5></div><hr/><div",1,1,1,0,0,2,2,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,2,NULL,2,NULL,Electricity damages your attackers.,6,8,6,NULL,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/d/defensive-shock
1036,Delay Pain,Enchantment,NULL,emotion,"bard 2, cleric 2, inquisitor 2, sorcerer/wizard 2, witch 2",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One creature,1 hour/level,0,0,Will negates,Yes,"You override the target's ability to feel pain. Pain effects (such as pain strike** and symbol of pain) do not affect the target until this spell's duration has expired. This does not negate any physical damage, ability damage, or ability drain that a pai","<p>You override the target's ability to feel pain. Pain effects (such as <i>pain strike</i>** and <i>symbol of</i> pain) do not affect the target until this spell's duration has expired. This does not negate any physical damage, ability damage, or ability",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Delay Pain</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment [emotion]; <b>Level </b>bard 2, cleric 2, inquisitor 2, sorcerer/wizard 2, witch 2</h5></d",1,1,0,0,0,2,2,2,NULL,NULL,2,NULL,NULL,NULL,2,2,NULL,NULL,NULL,NULL,2,NULL,Ignore pain for 1 hour/level.,6,8,6,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/d/delay-pain
1037,Delusional Pride,Enchantment,Compulsion,"emotion, mind-affecting","bard 1, sorcerer/wizard 1, witch 1",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One creature,1 minute,0,0,Will negates,Yes,"The target becomes so distracted by an overblown sense of its worth that it takes a -2 penalty on attacks and skill checks.  However, this feeling also gives the target a +2 morale bonus on saves against charm and compulsion effects.","<p>The target becomes so distracted by an overblown sense of its worth that it takes a -2 penalty on attacks and skill checks.</p><p>However, this feeling also gives the target a +2 morale bonus on saves against charm and compulsion effects.</p>",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Delusional Pride</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [emotion, mind-affecting]; <b>Level </b>bard 1, sorcerer/wizard 1, witc",1,1,0,0,0,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,Target is penalized on attacks and checks but gains bonus against charms and compulsions.,1,1,1,NULL,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/d/delusional-pride
1038,Diagnose Disease,Divination,NULL,NULL,"cleric 1, druid 1, paladin 1, ranger 1, witch 1",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),"Target or  one creature, one object, or a 5-ft. cube",NULL,NULL,Instantaneous,0,0,None,No,"You determine whether a creature, object, or area carries any sort of disease or infestation (including molds, slimes, and similar hazards), or any exceptional or supernatural effects causing the sickened or nauseated effects. If there is disease present,","<p>You determine whether a creature, object, or area carries any sort of disease or infestation (including molds, slimes, and similar hazards), or any exceptional or supernatural effects causing the sickened or nauseated effects. If there is disease prese",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Diagnose Disease</p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>cleric 1, druid 1, paladin 1, ranger 1, witch 1</h5></div><hr/><div><h5",1,1,0,0,0,NULL,NULL,1,1,1,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,Detect and identify diseases.,1,NULL,NULL,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/d/diagnose-disease
1039,Disguise Other,Illusion,Glamer,NULL,"bard 2, inquisitor 2, sorcerer/wizard 2",1 standard action,"V, S",0,Touch,NULL,NULL,Creature touched,10 minute/level (D),1,0,None,No,"This spell functions as disguise self, except you can disguise either yourself or another creature.","<p>This spell functions as <i>disguise self</i>, except you can disguise either yourself or another creature.</p>",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Disguise Other</p><div style=`clear: both;`></div></div><div><h5><b>School </b>illusion (glamer); <b>Level </b>bard 2, inquisitor 2, sorcerer/wizard 2</h5></div><hr/><div><h5><b",1,1,0,0,0,2,2,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,2,NULL,"As disguise self, but affects you or another.",6,8,6,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/d/disguise-other
1040,Distracting Cacophony,Evocation,NULL,sonic,"bard 2, sorcerer/wizard 3",1 standard action,"V, S",0,Medium (100 ft. + 10 ft./level),20-ft. spread,NULL,NULL,1 round/level (D),1,0,None,Yes,"The air fills with loud and discordant noise, making concentration difficult. Casting a spell in this area of cacophony requires a concentration check (DC 15 + the level of the spell being cast). Any other concentration checks in the area have their DCs i","<p>The air fills with loud and discordant noise, making concentration difficult. Casting a spell in this area of cacophony requires a concentration check (DC 15 + the level of the spell being cast). Any other concentration checks in the area have their DC",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Distracting Cacophony</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation [sonic]; <b>Level </b>bard 2, sorcerer/wizard 3</h5></div><hr/><div><h5><b>CASTIN",1,1,0,0,0,3,3,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,Noise makes it difficult to cast.,15,18,6,NULL,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/d/distracting-cacophony
1041,Distressing Tone,Evocation,NULL,sonic,"bard 2, inquisitor 2",2 standard actions,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,1d4 living creatures,1 round/level,0,0,Fortitude negates,Yes,You create a powerful tone that vibrates living flesh. Targets must save or gain the sickened condition. Creatures that are immune to critical hits are immune to this spell.,<p>You create a powerful tone that vibrates living flesh. Targets must save or gain the sickened condition. Creatures that are immune to critical hits are immune to this spell.</p>,Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Distressing Tone</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation [sonic]; <b>Level </b>bard 2, inquisitor 2</h5></div><hr/><div><h5><b>CASTING</b></h5>",1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,2,NULL,Sound sickens 1d4 creatures.,NULL,NULL,6,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/d/distressing-tone
1042,Divine Pursuit,Transmutation,NULL,NULL,inquisitor 5,1 standard action,"V, S",0,Personal,NULL,NULL,You,1 minute/level; see text,0,0,None,No,"Select one creature within 60 feet that you have damaged.  If that creature has a burrow, climb, fly, or swim speed, you gain that form of movement for the duration of the spell at the same speed and maneuverability as the selected creature.  If this give","<p>Select one creature within 60 feet that you have damaged.</p><p>If that creature has a burrow, climb, fly, or swim speed, you gain that form of movement for the duration of the spell at the same speed and maneuverability as the selected creature.</p><p",Ultimate Magic,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Divine Pursuit</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>inquisitor 5</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><di,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,5,NULL,Gain a movement type of your prey.,NULL,NULL,NULL,65,65,NULL,1625,3250,48750,http://www.d20pfsrd.com/magic/all-spells/d/divine-pursuit
1043,Dread Bolt,Evocation,NULL,evil,cleric 2,1 standard action,"V, S, DF",0,Close (25 ft. + 5 ft./2 levels),NULL,Arrow-shaped projectile of evil energy,NULL,Instantaneous (1d4 rounds),0,0,Will partial (see text),Yes,You unleash a crackling missile of darkness from your unholy symbol at any one target in range as a ranged touch attack.  A good creature struck by dread bolt takes 1d8 points of damage per two caster levels (maximum 5d8). A good outsider instead takes 1d,<p>You unleash a crackling missile of darkness from your unholy symbol at any one target in range as a ranged touch attack.</p><p>A good creature struck by <i>dread bolt</i> takes 1d8 points of damage per two caster levels (maximum 5d8). A good outsider i,Ultimate Magic,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Dread Bolt</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation [evil]; <b>Level </b>cleric 2</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5,1,1,0,0,1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,Harm and possibly sicken good creatures.,6,NULL,NULL,NULL,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/d/dread-bolt
1044,Eagle Aerie,Conjuration,Summoning,good,"druid 6, summoner 6",1 round,"V, S, DF",0,Long (400 ft. + 40 ft./level),NULL,Summoned eagles,NULL,1 hour/level,0,0,None,No,"You summon a flight of giant eagles (one per three caster levels, maximum of six; Bestiary 118) to ferry you and your allies across the skies. The eagles avoid combat if possible but defend themselves if attacked; if the eagles attack, the remaining durat","<p>You summon a flight of giant eagles (one per three caster levels, maximum of six; <i>Bestiary</i> 118) to ferry you and your allies across the skies. The eagles avoid combat if possible but defend themselves if attacked; if the eagles attack, the remai",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Eagle Aerie</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (summoning) [good]; <b>Level </b>druid 6, summoner 6</h5></div><hr/><div><h5><b>CASTING</",1,1,0,0,1,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,Summon 1 giant eagle/3 levels.,66,NULL,66,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/e/eagle-aerie
1045,Ear-Piercing Scream,Evocation,NULL,sonic,"bard 1, inquisitor 1, sorcerer/wizard 1, witch 1",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One creature,1 round/level; see text,0,0,Fortitude partial (see text),Yes,"You unleash a powerful scream, inaudible to all but a single target. The target is dazed for 1 round and takes 1d6 points of sonic damage per two caster levels (maximum 5d6). A successful save negates the daze effect and halves the damage.","<p>You unleash a powerful scream, inaudible to all but a single target. The target is dazed for 1 round and takes 1d6 points of sonic damage per two caster levels (maximum 5d6). A successful save negates the daze effect and halves the damage.</p>",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Ear-Piercing Scream</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation [sonic]; <b>Level </b>bard 1, inquisitor 1, sorcerer/wizard 1, witch 1</h5></div><h",1,1,0,0,0,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,Deal sonic damage and daze target.,1,1,1,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/e/ear-piercing-scream
1046,Echolocation,Transmutation,NULL,sonic,"alchemist 4, bard 4, druid 4, sorcerer/wizard 5",1 standard action,V,0,Personal,NULL,NULL,You,10 minutes/level,0,0,None,No,"You can perceive the world by creating high-pitched noises and listening to their echoes. This gives you blindsight to a range of 40 feet. The echo-producing noises are too highpitched to be heard by most creatures, and can only be detected by dragons, ot","<p>You can perceive the world by creating high-pitched noises and listening to their echoes. This gives you blindsight to a range of 40 feet. The echo-producing noises are too highpitched to be heard by most creatures, and can only be detected by dragons,",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Echolocation</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation [sonic]; <b>Level </b>alchemist 4, bard 4, druid 4, sorcerer/wizard 5</h5></div><hr/><",1,0,0,0,0,5,5,NULL,4,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,Sonic sense gives you blindsight 40 ft.,28,50,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/e/echolocation
1047,Eldritch Fever,Necromancy,NULL,"curse, disease, evil","inquisitor 3, sorcerer/wizard 3, witch 3",1 standard,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One creature,Instantaneous,0,0,Fortitude negates,Yes,The target gains the eldritch ague spellblight (see page 96).,<p>The target gains the eldritch ague spellblight (see page 96).</p>,Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Eldritch Fever</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy [curse, disease, evil]; <b>Level </b>inquisitor 3, sorcerer/wizard 3, witch 3</h5></div",1,1,0,0,0,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,NULL,3,NULL,Target gains the eldritch ague spellblight.,15,18,NULL,21,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/e/eldritch-fever
1048,Envious Urge,Enchantment,Compulsion,"emotion, mind-affecting","bard 4, sorcerer/wizard 6",1 standard action,"V, S",0,Medium (100 ft. + 10 ft./level),NULL,NULL,"One creature/level, no two of which can be more than 30 ft. apart",1 round/level,0,0,Will negates,Yes,"You fill creatures with feelings of seething envy. Affected targets turn upon the nearest creature (whether an ally or enemy) and attempt to disarm it of a valuable weapon, steal something it is holding, or grapple it and strip it of something it prizes (","<p>You fill creatures with feelings of seething envy. Affected targets turn upon the nearest creature (whether an ally or enemy) and attempt to disarm it of a valuable weapon, steal something it is holding, or grapple it and strip it of something it prize",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Envious Urge</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [emotion, mind-affecting]; <b>Level </b>bard 4, sorcerer/wizard 6</h5></div",1,1,0,0,0,6,6,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,Targets steal from or disarm others.,66,72,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/e/envious-urge
1049,Epidemic,Necromancy,NULL,"disease, evil","cleric 6, druid 6, sorcerer/wizard 7, witch 6",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,Living creature,Instantaneous,0,0,Fortitude negates,Yes,"The target contracts one of the following diseases: blinding sickness, bubonic plague, cackle fever, filth fever, leprosy, mindfire, red ache, shakes, or slimy doom (Core Rulebook 557), as the spell contagion. However, the disease is highly contagious, an","<p>The target contracts one of the following diseases: blinding sickness, bubonic plague, cackle fever, filth fever, leprosy, mindfire, red ache, shakes, or slimy doom (<i>Core Rulebook</i> 557), as the spell <i>contagion</i>. However, the disease is high",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Epidemic</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy [disease, evil]; <b>Level </b>cleric 6, druid 6, sorcerer/wizard 7, witch 6</h5></div><hr/><d",1,1,0,0,0,7,7,6,6,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,7,NULL,Infect a subject with a highly contagious disease.,66,98,NULL,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/e/epidemic
1050,Eruptive Pustules,Transmutation,NULL,acid,"alchemist 3, sorcerer/wizard 3, witch 3",1 standard action,"V, S",0,Personal,NULL,NULL,You,1 minute/level (D),1,0,Fortitude partial (see text),Yes,"Your skin erupts in swollen, pus-filled bumps that burst open if you are struck. Any creature that strikes you with its body or a hand-held weapon deals normal damage, but at the same time the attacker takes 1d6 points of acid damage and must save or be s","<p>Your skin erupts in swollen, pus-filled bumps that burst open if you are struck. Any creature that strikes you with its body or a hand-held weapon deals normal damage, but at the same time the attacker takes 1d6 points of acid damage and must save or b",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Eruptive Pustules</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation [acid]; <b>Level </b>alchemist 3, sorcerer/wizard 3, witch 3</h5></div><hr/><div>",1,1,0,0,0,3,3,NULL,NULL,NULL,NULL,NULL,3,NULL,3,NULL,NULL,NULL,NULL,NULL,3,NULL,Acid boils burst when you are attacked.,15,18,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/e/eruptive-pustules
1051,Excruciating Deformation,Transmutation,Polymorph,"evil, pain","sorcerer/wizard 3, witch 3",1 standard action,"V, S",0,Touch,NULL,NULL,Creature touched,1 round/level,0,0,Fortitude partial (see text),Yes,"Your touch attack causes your target to become painfully malformed. Its limbs twist and buckle, while its body contorts uncontrollably, shifting and warping. Each round the target suffers excruciating pain and takes 2d6 points of nonlethal damage, 1 point","<p>Your touch attack causes your target to become painfully malformed. Its limbs twist and buckle, while its body contorts uncontrollably, shifting and warping. Each round the target suffers excruciating pain and takes 2d6 points of nonlethal damage, 1 po",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Excruciating Deformation</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation (polymorph) [evil, pain]; <b>Level </b>sorcerer/wizard 3, witch 3</h5></di",1,1,0,0,0,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,3,NULL,Target takes Dex and Con damage.,15,18,NULL,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/e/excruciating-deformation
1052,Exquisite Accompaniment,Illusion,Shadow,shadow,bard 3,1 standard action,"V, S",0,Personal,NULL,Phantom instrument,NULL,1 round/level (D),1,0,None,No,"You create a phantom instrument, a glowing construct of magic in the form of a portable musical instrument of your choice. The instrument floats beside you, moving as you move (even if you teleport). It cannot be damaged, but can be dispelled. The instrum","<p>You create a phantom instrument, a glowing construct of magic in the form of a portable musical instrument of your choice. The instrument floats beside you, moving as you move (even if you teleport). It cannot be damaged, but can be dispelled. The inst",Ultimate Magic,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Exquisite Accompaniment</p><div style=`clear: both;`></div></div><div><h5><b>School </b>illusion (shadow) [shadow]; <b>Level </b>bard 3</h5></div><hr/><div><h5><b>CASTING</b></h,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,Instrument maintains bardic performance for you.,NULL,NULL,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/e/exquisite-accompaniment
1053,"False Life, Greater",Necromancy,NULL,NULL,"alchemist 4, sorcerer/wizard 4, witch 4",1 standard action,"V, S, M (a drop of blood)",0,Personal,NULL,NULL,You,1 hour/level or until discharged; see text,0,0,None,No,"This spell functions as false life, except you gain temporary hit points equal to 2d10 + 1 point per caster level (maximum +20). The effects of this spell do not stack with those of false life.","<p>This spell functions as <i>false life</i>, except you gain temporary hit points equal to 2d10 + 1 point per caster level (maximum +20). The effects of this spell do not stack with those of <i>false life</i>.</p>",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>False Life, Greater</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy; <b>Level </b>alchemist 4, sorcerer/wizard 4, witch 4</h5></div><hr/><div><h5><b>C",1,1,1,0,0,4,4,NULL,NULL,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,4,NULL,Gain 2d10 temporary hp + 1/level.,28,32,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/f/false-life
1054,Familiar Melding,Necromancy,NULL,NULL,"sorcerer/wizard 4, witch 4",1 standard action,"V, S",0,Medium (100 ft. + 10 ft./level),NULL,NULL,Your familiar,1 hour/level or until you return to your body,0,0,Will negates (harmless),Yes,"You project your soul into your familiar, taking over its body while leaving its consciousness intact. When you transfer your soul upon casting, your body is, as near as anyone can tell, dead.  While possessing your familiar, you can communicate with it t","<p>You project your soul into your familiar, taking over its body while leaving its consciousness intact. When you transfer your soul upon casting, your body is, as near as anyone can tell, dead.</p><p>While possessing your familiar, you can communicate w",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Familiar Melding</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy; <b>Level </b>sorcerer/wizard 4, witch 4</h5></div><hr/><div><h5><b>CASTING</b></h5><",1,1,0,0,0,4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,4,NULL,Possess your familiar.,28,32,NULL,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/f/familiar-melding
